sample_key,row,col,u,v,n_supporting_detections,median_area_frac
CG CL 1,0,3,3.453247891262152,0.4928925703434437,1,0.0007099126365929956
CG CL 1,0,3,3.0616073739031084,0.49418216585854224,1,0.0008238165297776926
CG CL 1,0,1,1.1976546631708358,0.49778719494951396,1,0.0006277958763900744
CG CL 1,0,2,2.9565591952405987,0.4999769199160973,1,0.0006913701423536264
CG CL 1,0,2,2.1485505406339236,0.5055097065834039,1,0.0008661993737533939
CG CL 1,0,2,2.773828991137092,0.5023034056693026,1,0.0005721683936719666
CG CL 1,0,2,2.8167795898597405,0.5017191228661124,1,0.0005562748271810787
CG CL 1,0,2,2.293712620863108,0.5043797135397458,1,0.0007284551308323649
CG CL 1,0,3,3.7389422579102454,0.5069045456137097,1,0.0008132208187837674
CG CL 1,0,0,0.8342698713038573,0.5176142504341177,1,0.0009668586281956843
CG CL 1,0,3,3.823597325842516,0.5177550396103338,1,0.0009509650617047963
CG CL 1,0,0,0.38123069669433823,0.5181419045015448,1,0.0007946783245443981
CG CL 1,0,2,2.5771019739147634,0.517355807625582,1,0.0006489872983779251
CG CL 1,0,0,0.4662845473401039,0.5226257388406398,1,0.000980103266938091
CG CL 1,0,2,2.822503502425971,0.5196050579270992,1,0.0005244876941993028
CG CL 1,0,0,0.20269394748307248,0.5276821587518441,1,0.0006066044544022239
CG CL 1,0,1,1.8948469177819098,0.5314407863380695,1,0.0008979865067351698
CG CL 1,0,2,2.6339085869589325,0.533438157791941,1,0.0007337529863293275
CG CL 1,0,2,2.7916842324190525,0.5511408506446699,1,0.0009112311454775765
CG CL 1,0,1,1.2300472969568577,0.555124208556492,1,0.0010410286051531616
CG CL 1,0,2,2.571744845137579,0.5495816722642417,1,0.0006569340816233691
CG CL 1,0,2,2.414362841610934,0.5522471977413582,1,0.0007840826135504728
CG CL 1,0,2,2.831010933731901,0.554133128014391,1,0.0005668705381750039
CG CL 1,0,0,0.38582274674057293,0.5610259862360363,1,0.0008556036627594686
CG CL 1,0,3,3.065383390093995,0.5614143944199773,1,0.0008026251077898421
CG CL 1,0,3,3.325984540967019,0.5662249692348794,1,0.0008079229632868047
CG CL 1,0,2,2.933158445884601,0.5671844034680338,1,0.0007920293967959167
CG CL 1,0,3,3.6796256432761396,0.5678935748149241,1,0.000664880864868813
CG CL 1,0,2,2.2872191439236924,0.5670789090357312,1,0.0005986576711567798
CG CL 1,0,2,2.3785357705768817,0.572269469962697,1,0.0006595830093718505
CG CL 1,0,3,3.235499338244622,0.5725942394061635,1,0.0007522954805686969
CG CL 1,0,0,0.7303406895317752,0.5809394090695599,1,0.0009827521946865724
CG CL 1,0,3,3.939663064648398,0.5789960994629659,1,0.0007946783245443981
CG CL 1,0,2,2.788793433896765,0.575486010834987,1,0.0005562748271810787
CG CL 1,0,3,3.191995154305557,0.5822212329647877,1,0.0009695075559441657
CG CL 1,0,2,2.4514523146850564,0.5816164592887987,1,0.0006993169255990703
CG CL 1,0,2,2.4904250330531927,0.5841664629727213,1,0.0008397100962685807
CG CL 1,0,2,2.8502079394789814,0.582477658496061,1,0.0007575933360656595
CG CL 1,0,3,3.7118132323722874,0.585486310894323,1,0.0008953375789866885
CG CL 1,0,3,3.8083332781510184,0.5831464807284991,1,0.0007072637088445143
CG CL 1,0,0,0.20905817973449503,0.5810132654202064,1,0.0004026370177691617
CG CL 1,0,1,1.827592318061327,0.584055600748262,1,0.0006569340816233691
CG CL 1,0,0,0.5038584628579416,0.5895097077654128,1,0.0005642216104265226
CG CL 1,0,0,0.7860310255190124,0.5878554112550672,1,0.0004397220062479003
CG CL 1,0,3,3.5454549872365697,0.589927463625304,1,0.0006304448041385558
CG CL 1,0,1,1.1729034691472986,0.5973846057428575,1,0.0010224861109137922
CG CL 1,0,0,0.35729441325572575,0.5952202574091725,1,0.0006330937318870371
CG CL 1,0,0,0.6158677894007257,0.6019434891781721,1,0.0009509650617047963
CG CL 1,0,2,2.2320718860188373,0.5991497510887197,1,0.0005907108879113359
CG CL 1,0,2,2.53607567292181,0.6004544702953872,1,0.0006701787203657757
